SCALERANK,NAME,SOV0NAME,SOV_A3,ADM0NAME,ADM0_A3,ADM1NAME,ISO_A2,LATITUDE,LONGITUDE,POP_MAX,POP_MIN
3,Thunder Bay,Canada,CAN,Canada,CAN,Ontario,CA,48.44615013,-89.27497481,99334,97374
7,Carbondale,United States,USA,United States of America,USA,Illinois,US,37.72683026,-89.22024947,32444,24502
3,San Salvador,El Salvador,SLV,El Salvador,SLV,San Salvador,SV,13.71000165,-89.20304122,1433000,2807
10,Nueva Ocotepeque,Honduras,HND,Honduras,HND,Ocotepeque,HN,14.43699912,-89.18199855,8780,8780
8,Laurel,United States,USA,United States of America,USA,Mississippi,US,31.69737917,-89.1392725,28841,17891
10,Chalatenango,El Salvador,SLV,El Salvador,SLV,Chalatenango,SV,14.07200406,-89.09399649,29271,29271
7,Gulfport,United States,USA,United States of America,USA,Mississippi,US,30.3675637,-89.09276371,82165,71127
8,Rockford,United States,USA,United States of America,USA,Illinois,US,42.26970542,-89.06969019,255978,152765
9,El Cayo,Belize,BLZ,Belize,BLZ,Cayo,BZ,17.15599807,-89.06100252,16977,9925
8,Janesville,United States,USA,United States of America,USA,Wisconsin,US,42.68262596,-89.02157943,69278,61675
7,Izamal,Mexico,MEX,Mexico,MEX,Yucatán,MX,20.93041363,-89.02005497,14954,14186
7,Bloomington,United States,USA,United States of America,USA,Illinois,US,40.48459475,-88.99359664,128979,70706
7,Decatur,United States,USA,United States of America,USA,Illinois,US,39.8407064,-88.95473596,77868,72067
10,Cojutepeque,El Salvador,SLV,El Salvador,SLV,Cuscatlán,SV,13.71670204,-88.9333016,48411,48411
8,Peto,Mexico,MEX,Mexico,MEX,Yucatán,MX,20.12997154,-88.91998356,17607,8241
6,Biloxi,United States,USA,United States of America,USA,Mississippi,US,30.39580487,-88.88530868,50644,37070
10,Zacatecoluca,El Salvador,SLV,El Salvador,SLV,La Paz,SV,13.508001,-88.86799761,39613,39613
7,Jackson,United States,USA,United States of America,USA,Tennessee,US,35.61486615,-88.81389185,63196,62080
7,Punta Gorda,Belize,BLZ,Belize,BLZ,Toledo,BZ,16.1003467,-88.81001612,7748,5026
10,San Vicente,El Salvador,SLV,El Salvador,SLV,San Vicente,SV,13.64100303,-88.78499961,37326,37326
8,Santa Rosa de Copán,Honduras,HND,Honduras,HND,Copán,HN,14.76998863,-88.77999211,35529,27753
3,Belmopan,Belize,BLZ,Belize,BLZ,Cayo,BZ,17.25203351,-88.767073,15220,13381
8,Livingston,Guatemala,GTM,Guatemala,GTM,Izabal,GT,15.83065388,-88.75623452,14350,10255
8,Meridian,United States,USA,United States of America,USA,Mississippi,US,32.36418601,-88.70361434,42290,39437
7,Tupelo,United States,USA,United States of America,USA,Mississippi,US,34.25792055,-88.70333012,35956,31900
8,Sensuntepeque,El Salvador,SLV,El Salvador,SLV,Cabañas,SV,13.88004295,-88.63000126,26989,20386
7,Paducah,United States,USA,United States of America,USA,Kentucky,US,37.08371706,-88.60000309,41317,26307
6,Puerto Barrios,Guatemala,GTM,Guatemala,GTM,Izabal,GT,15.71749529,-88.59265184,56605,53150
